Review,Useful,
He was boring and ruined psychology for me. Nothing he ever said was clear and I would not recommend him if you want to pursue in psych. He's an easy grader but the pop quizzes everyday definitely made it hard to have a good quiz grade.,0,
"extremely difficult course. I thought I was going to have to retake it (like many others have to.) The labs are insanely hard and quite time consuming, and the pop quizzes are challenging. I think the tests should have easier questions but be longer. If you miss 2 multiple choice, you drop a letter grade. this course is VERY TIME CONSUMING",1,
Hard to understand at times. Tests are ok. Not too forgiving with grades.,1,
SO glad to be the hell out of this class,0,
"great teacher and very smart , the class is very hard and useful.",1,
Do not take her. She really is not interesting and is not a respectful individual. She treats her students like children. Take someone else. Very mean.,0,
"Awesome teacher. He's one of the few teachers whose lectures I can actually pay attention to. I'll go into the class dog tired but come out completely energized. Very funny, knowledgeable guy.",0,
"very good teacher loved the stories, i think he is one of the best on campus",1,
"I thought his class was extremely hard but despite it all, I became a confident writer. People on here say 'you can only get a c on a paper' WRONG. I got an A and a B. You just have to be in it to win it. If you want to get an A, get a different teacher. If you want learn, Go for Rand. He made Eng. 110 worth something.",1,
"I feel like people over-react about this class sometimes. Sure, his tests are not easy and he really expects you to know the content, but people shouldn't expect hand-holding at this stage in the game. People complain about arrogance but he was always very respectful when I went to talk to him. Class really separates the men from the boys.",1,
"This class was in the top two courses I've taken as a grad student at FIT. This course was challenging and extremely interesting. The discussion format of the course with his enthusiasm about swarm intelligence combined to create a fun and thought-provoking classroom atmosphere. The presentation and paper critiques were invaluable.One of the toughest classes out there, but he is one of the best teachers for it. Great guy, always willing to explain if somebody doesnt get it in the class. Is interested in the future of students; always asking for feedback. Very very tough grader, but one of the better CS majors.",1,
"I find everything okay except the grading on tests. I am okay with labs; it doesn't take me long to understand the concepts and to apply them. On tests, if you miss 2 multiple-choice questions, you drop a letter grade!!! It's terrible.",1,
Best calc teacher I could ask for. She is very clear about the expectations for quizzes/tests and teaches with examples that usually cover everything we are tested on. The lab sheets often have questions that are similar to the ones on the quizzes. Expect weekly homework on web assign and 3 group projects (easy). GSA was great too.,1,
"the class is very important and you will use every thing you will learn in you career however, if you can find a different teacher i advise you too because he makes the class very heavy on the student. most students fail the first time. Good luck",1,
"She is the best I ever had. She ginuinly cares about us, she want to know about our persinal life. She is always wiling to meet in her office. We even have her cell phone number. Strict, but fair. Ps:: she looks sexy in Facebook pictures",0,
"She is my best teacher in this university. She speaks clearly, she gives such good examples, I can understand what she is talking about. I think she makes the boring class very fun and the time goes fast in her class. She really knows her topic and so she is passionate about it. She is strict with attendence and turning paper in time, but if yo",1,
"She spends about five minutes on the lecture, and the rest of the time on applying whatever it is that we've learned, which is just how I like it. She's great about answering questions and clarifying anything you don't understand!",1,
